DATE_KEY,INVOICE_NO,PRODUCT_KEY,PRODUCT_DESCRIPTION
20110203,61741,113261,Milk
20110203,62173,113261,Milk
20110203,62485,113261,Milk
20110203,62695,113261,Milk
20110203,54177,113261,Milk
20110204,77011,113261,Milk
20110204,77324,113261,Milk
20110204,99544,113261,Milk
20110204,99977,113261,Milk
20110204,74619,113261,Milk
20110204,74625,113261,Milk
20110204,60468,113261,Milk
20110204,44897,113261,Milk
20110204,45107,113261,Milk
20110204,70206,113261,Milk
20110204,62827,113261,Milk
20110204,63135,113261,Milk
20110204,63237,113261,Milk
20110204,63325,113261,Milk
20110204,63445,113261,Milk
20110204,63546,113261,Milk
20110204,63570,113261,Milk
20110204,63686,113261,Milk
20110204,63742,113261,Milk
20110204,77232,113261,Milk
20110204,41223,113261,Milk
20110204,41271,113261,Milk
20110204,54478,113261,Milk
20110204,54496,113261,Milk
20110204,70765,113261,Milk
20110204,70930,113261,Milk
20110205,77828,113261,Milk
20110205,78059,113261,Milk
20110205,78071,113261,Milk
20110205,78168,113261,Milk
20110205,78243,113261,Milk
20110205,412,113261,Milk
20110205,509,113261,Milk
20110205,519,113261,Milk
20110205,710,113261,Milk
20110205,31421,113261,Milk
20110205,14989,113261,Milk
20110205,15188,113261,Milk
20110205,15227,113261,Milk
20110205,15383,113261,Milk
20110205,15473,113261,Milk
20110205,6497,113261,Milk
20110205,70726,113261,Milk
20110205,70953,113261,Milk
20110205,64084,113261,Milk
20110205,64108,113261,Milk
20110205,64240,113261,Milk
20110205,64370,113261,Milk
20110205,64382,113261,Milk
20110205,64404,113261,Milk
20110205,64484,113261,Milk
20110205,64551,113261,Milk
20110205,64589,113261,Milk
20110205,64591,113261,Milk
20110205,64593,113261,Milk
20110205,64637,113261,Milk
20110205,64702,113261,Milk
20110205,64877,113261,Milk
20110205,64943,113261,Milk
20110205,78287,113261,Milk
20110205,51808,113261,Milk
20110205,41652,113261,Milk
20110205,41664,113261,Milk
20110205,41744,113261,Milk
20110205,41756,113261,Milk
20110205,54816,113261,Milk
20110205,54876,113261,Milk
20110205,55020,113261,Milk
20110206,78956,113261,Milk
20110206,79026,113261,Milk
20110206,1101,113261,Milk
20110206,1510,113261,Milk
20110206,979,113261,Milk
20110206,75598,113261,Milk
20110206,75819,113261,Milk
20110206,75886,113261,Milk
20110206,76000,113261,Milk
20110206,61479,113261,Milk
20110206,61888,113261,Milk
20110206,8353,113261,Milk
20110206,7226,113261,Milk
20110206,52648,113261,Milk
20110206,52911,113261,Milk
20110206,71687,113261,Milk
20110206,71719,113261,Milk
20110206,72024,113261,Milk
20110206,72362,113261,Milk
20110206,65304,113261,Milk
20110206,65334,113261,Milk
20110206,65335,113261,Milk
20110206,65366,113261,Milk
20110206,65618,113261,Milk
20110206,65715,113261,Milk
20110206,65827,113261,Milk
20110206,65878,113261,Milk
20110206,66135,113261,Milk
20110206,66163,113261,Milk
20110206,66214,113261,Milk
20110206,78783,113261,Milk
20110206,78851,113261,Milk
20110206,78939,113261,Milk
20110206,79160,113261,Milk
20110206,52024,113261,Milk
20110206,55447,113261,Milk
20110206,71813,113261,Milk
20110207,79591,113261,Milk
20110207,79738,113261,Milk
20110207,1851,113261,Milk
20110207,1885,113261,Milk
20110207,2227,113261,Milk
20110207,76377,113261,Milk
20110207,76499,113261,Milk
